Resume,Job Description,Similarity Score
"Business Analyst skilled in requirements gathering, data analysis, uml, sql.","Data Scientist skilled in python, machine learning, sql, statistics.",0.655214
"Data Engineer skilled in airflow, etl, hadoop, spark.","Cloud Engineer skilled in terraform, azure, aws, cloud computing.",0.632617
"QA Engineer skilled in python, automation testing, selenium, test planning.","Business Analyst skilled in sql, uml, data analysis, requirements gathering.",0.606219
"AI Engineer skilled in tensorflow, deep learning, python, nlp.","Machine Learning Engineer skilled in pytorch, tensorflow, model deployment, python.",0.731416
"Data Engineer skilled in airflow, spark, etl, hadoop.","Mobile App Developer skilled in react native, kotlin, android, swift.",0.635141
"Software Engineer skilled in oop, python, java, c++.","Frontend Developer skilled in react, css, html, javascript.",0.553339
"Frontend Developer skilled in javascript, react, css, html.","AI Engineer skilled in tensorflow, deep learning, nlp, python.",0.560335
"System Administrator skilled in bash scripting, linux, networking, vmware.","System Administrator skilled in bash scripting, linux, vmware, networking.",0.826211
"Full Stack Developer skilled in node.js, react, javascript, python.","Software Engineer skilled in c++, python, java, oop.",0.568623
"Product Manager skilled in roadmap planning, agile, data analysis, scrum.","Database Administrator skilled in backup, performance tuning, oracle, sql.",0.551422
"Frontend Developer skilled in javascript, html, react, css.","Data Engineer skilled in spark, airflow, hadoop, etl.",0.612414
"Software Engineer skilled in c++, java, oop, python.","Full Stack Developer skilled in javascript, node.js, python, react.",0.629893
"Data Scientist skilled in sql, python, statistics, machine learning.","Data Scientist skilled in sql, python, machine learning, statistics.",0.847704
"AI Engineer skilled in nlp, python, tensorflow, deep learning.","DevOps Engineer skilled in ci/cd, kubernetes, docker, aws.",0.73291
"Software Engineer skilled in java, python, c++, oop.","Data Scientist skilled in python, statistics, sql, machine learning.",0.683773
"AI Engineer skilled in deep learning, tensorflow, python, nlp.","IT Support Specialist skilled in troubleshooting, helpdesk, vpn, windows.",0.67216
"AI Engineer skilled in nlp, python, tensorflow, deep learning.","Full Stack Developer skilled in node.js, javascript, python, react.",0.632209
"Backend Developer skilled in rest api, python, node.js, sql.","Software Engineer skilled in python, c++, oop, java.",0.712352
"Business Analyst skilled in uml, data analysis, sql, requirements gathering.","Data Engineer skilled in hadoop, etl, spark, airflow.",0.720733
"Frontend Developer skilled in react, html, javascript, css.","Business Analyst skilled in uml, sql, requirements gathering, data analysis.",0.550618
"Data Scientist skilled in python, machine learning, sql, statistics.","Business Analyst skilled in data analysis, sql, uml, requirements gathering.",0.715562
"QA Engineer skilled in automation testing, test planning, python, selenium.","DevOps Engineer skilled in docker, kubernetes, aws, ci/cd.",0.652917
"Data Scientist skilled in statistics, sql, machine learning, python.","Cloud Engineer skilled in cloud computing, terraform, azure, aws.",0.697916
"UX Designer skilled in prototyping, user research, wireframing, figma.","Network Engineer skilled in switching, firewalls, tcp/ip, routing.",0.553248
"Data Engineer skilled in hadoop, airflow, etl, spark.","QA Engineer skilled in automation testing, test planning, selenium, python.",0.732528
"Software Engineer skilled in java, c++, python, oop.","Backend Developer skilled in rest api, python, sql, node.js.",0.706747
"Machine Learning Engineer skilled in python, tensorflow, model deployment, pytorch.","Cloud Engineer skilled in terraform, aws, azure, cloud computing.",0.729295
"Cloud Engineer skilled in aws, cloud computing, azure, terraform.","Cloud Engineer skilled in cloud computing, aws, azure, terraform.",0.910716
"Mobile App Developer skilled in android, kotlin, react native, swift.","IT Support Specialist skilled in helpdesk, troubleshooting, vpn, windows.",0.637406
"Cloud Engineer skilled in terraform, cloud computing, aws, azure.","Data Scientist skilled in statistics, machine learning, python, sql.",0.655815
"AI Engineer skilled in deep learning, nlp, tensorflow, python.","Machine Learning Engineer skilled in model deployment, python, pytorch, tensorflow.",0.733559
"UX Designer skilled in wireframing, user research, figma, prototyping.","Machine Learning Engineer skilled in model deployment, tensorflow, pytorch, python.",0.578145
"Frontend Developer skilled in javascript, html, react, css.","Cloud Engineer skilled in cloud computing, azure, terraform, aws.",0.57905
"Cloud Engineer skilled in azure, cloud computing, terraform, aws.","Cybersecurity Analyst skilled in network security, encryption, linux, python.",0.632712
"Backend Developer skilled in python, sql, rest api, node.js.","IT Support Specialist skilled in troubleshooting, vpn, helpdesk, windows.",0.639595
"Data Engineer skilled in etl, hadoop, spark, airflow.","Data Engineer skilled in hadoop, spark, airflow, etl.",0.778189
"Backend Developer skilled in python, sql, rest api, node.js.","QA Engineer skilled in test planning, selenium, python, automation testing.",0.66301
"Mobile App Developer skilled in swift, kotlin, android, react native.","Software Engineer skilled in python, oop, c++, java.",0.684197
"Frontend Developer skilled in css, javascript, react, html.","Network Engineer skilled in switching, firewalls, tcp/ip, routing.",0.67901
"Backend Developer skilled in rest api, node.js, python, sql.","Machine Learning Engineer skilled in python, model deployment, tensorflow, pytorch.",0.699569
"Cybersecurity Analyst skilled in python, encryption, linux, network security.","Machine Learning Engineer skilled in pytorch, python, tensorflow, model deployment.",0.630619
"Full Stack Developer skilled in javascript, react, python, node.js.","Machine Learning Engineer skilled in pytorch, tensorflow, model deployment, python.",0.564392
"AI Engineer skilled in python, nlp, deep learning, tensorflow.","Software Engineer skilled in java, python, c++, oop.",0.753367
"Data Scientist skilled in sql, statistics, machine learning, python.","UX Designer skilled in wireframing, prototyping, user research, figma.",0.605999
"Cybersecurity Analyst skilled in linux, encryption, python, network security.","Backend Developer skilled in rest api, node.js, sql, python.",0.667601
"UX Designer skilled in wireframing, user research, prototyping, figma.","Data Scientist skilled in statistics, machine learning, sql, python.",0.624348
"Cloud Engineer skilled in aws, terraform, azure, cloud computing.","Cloud Engineer skilled in cloud computing, aws, terraform, azure.",0.833906
"Cybersecurity Analyst skilled in linux, network security, encryption, python.","Data Scientist skilled in machine learning, statistics, python, sql.",0.615289
"Data Engineer skilled in spark, airflow, etl, hadoop.","Database Administrator skilled in oracle, backup, performance tuning, sql.",0.582657
"Business Analyst skilled in requirements gathering, uml, data analysis, sql.","DevOps Engineer skilled in docker, kubernetes, aws, ci/cd.",0.559381
"UX Designer skilled in user research, figma, wireframing, prototyping.","AI Engineer skilled in nlp, deep learning, python, tensorflow.",0.639314
"Cloud Engineer skilled in aws, cloud computing, azure, terraform.","Product Manager skilled in data analysis, roadmap planning, agile, scrum.",0.678793
"System Administrator skilled in vmware, networking, linux, bash scripting.","Machine Learning Engineer skilled in tensorflow, pytorch, python, model deployment.",0.639861
"System Administrator skilled in bash scripting, networking, vmware, linux.","Mobile App Developer skilled in react native, android, kotlin, swift.",0.590236
"Product Manager skilled in scrum, agile, data analysis, roadmap planning.","Data Scientist skilled in machine learning, python, sql, statistics.",0.658672
"Full Stack Developer skilled in python, javascript, react, node.js.","Backend Developer skilled in sql, node.js, rest api, python.",0.686919
"AI Engineer skilled in nlp, python, deep learning, tensorflow.","UX Designer skilled in prototyping, wireframing, figma, user research.",0.674411
"Data Scientist skilled in python, statistics, machine learning, sql.","DevOps Engineer skilled in kubernetes, docker, ci/cd, aws.",0.570466
"Data Engineer skilled in hadoop, spark, airflow, etl.","IT Support Specialist skilled in vpn, helpdesk, windows, troubleshooting.",0.583024
"UX Designer skilled in user research, prototyping, figma, wireframing.","System Administrator skilled in linux, bash scripting, vmware, networking.",0.664526
"Mobile App Developer skilled in react native, swift, kotlin, android.","Mobile App Developer skilled in kotlin, swift, android, react native.",0.931882
"UX Designer skilled in user research, prototyping, wireframing, figma.","DevOps Engineer skilled in kubernetes, docker, ci/cd, aws.",0.656766
"Network Engineer skilled in routing, switching, firewalls, tcp/ip.","Network Engineer skilled in tcp/ip, switching, firewalls, routing.",0.874571
"Mobile App Developer skilled in swift, android, kotlin, react native.","Software Engineer skilled in python, java, c++, oop.",0.551795
"QA Engineer skilled in automation testing, selenium, python, test planning.","Database Administrator skilled in sql, performance tuning, backup, oracle.",0.592555
"Cloud Engineer skilled in aws, azure, cloud computing, terraform.","Network Engineer skilled in switching, firewalls, routing, tcp/ip.",0.662777
"Network Engineer skilled in tcp/ip, routing, firewalls, switching.","Cybersecurity Analyst skilled in encryption, python, linux, network security.",0.714741
"Software Engineer skilled in java, oop, python, c++.","System Administrator skilled in vmware, networking, bash scripting, linux.",0.577322
"UX Designer skilled in figma, prototyping, user research, wireframing.","System Administrator skilled in vmware, bash scripting, linux, networking.",0.626648
"DevOps Engineer skilled in kubernetes, ci/cd, docker, aws.","Mobile App Developer skilled in android, react native, swift, kotlin.",0.695195
"Machine Learning Engineer skilled in python, model deployment, pytorch, tensorflow.","Cybersecurity Analyst skilled in linux, python, encryption, network security.",0.687929
"Data Scientist skilled in sql, machine learning, statistics, python.","Database Administrator skilled in sql, oracle, performance tuning, backup.",0.711189
"Cybersecurity Analyst skilled in encryption, python, linux, network security.","DevOps Engineer skilled in kubernetes, docker, ci/cd, aws.",0.656513
"System Administrator skilled in networking, linux, vmware, bash scripting.","Backend Developer skilled in python, node.js, sql, rest api.",0.572756
"Cloud Engineer skilled in cloud computing, terraform, aws, azure.","Cybersecurity Analyst skilled in python, network security, encryption, linux.",0.639199
"Software Engineer skilled in c++, java, python, oop.","AI Engineer skilled in nlp, python, deep learning, tensorflow.",0.690631
"IT Support Specialist skilled in helpdesk, vpn, troubleshooting, windows.","System Administrator skilled in bash scripting, vmware, linux, networking.",0.606847
"Full Stack Developer skilled in python, node.js, react, javascript.","Database Administrator skilled in backup, oracle, sql, performance tuning.",0.578568
"Full Stack Developer skilled in javascript, node.js, react, python.","Data Engineer skilled in hadoop, spark, airflow, etl.",0.618862
"Mobile App Developer skilled in android, swift, kotlin, react native.","Backend Developer skilled in node.js, python, sql, rest api.",0.688276
"Cybersecurity Analyst skilled in python, network security, linux, encryption.","Full Stack Developer skilled in python, node.js, react, javascript.",0.658624
"Network Engineer skilled in tcp/ip, firewalls, switching, routing.","Data Engineer skilled in spark, etl, hadoop, airflow.",0.636915
"Software Engineer skilled in java, c++, oop, python.","Data Engineer skilled in airflow, spark, etl, hadoop.",0.72989
"Business Analyst skilled in data analysis, uml, sql, requirements gathering.","Machine Learning Engineer skilled in tensorflow, pytorch, model deployment, python.",0.577411
"Cloud Engineer skilled in terraform, aws, azure, cloud computing.","Frontend Developer skilled in javascript, react, html, css.",0.576793
"Database Administrator skilled in backup, performance tuning, oracle, sql.","Database Administrator skilled in backup, oracle, performance tuning, sql.",1.023809
"Network Engineer skilled in tcp/ip, firewalls, routing, switching.","Machine Learning Engineer skilled in pytorch, model deployment, tensorflow, python.",0.60956
"Software Engineer skilled in python, oop, java, c++.","Frontend Developer skilled in css, react, javascript, html.",0.59054
"Machine Learning Engineer skilled in tensorflow, pytorch, model deployment, python.","Business Analyst skilled in uml, sql, requirements gathering, data analysis.",0.587231
"QA Engineer skilled in python, selenium, test planning, automation testing.","Mobile App Developer skilled in kotlin, android, swift, react native.",0.674542
"QA Engineer skilled in selenium, python, automation testing, test planning.","Network Engineer skilled in switching, routing, tcp/ip, firewalls.",0.634838
"Full Stack Developer skilled in react, node.js, javascript, python.","Full Stack Developer skilled in node.js, javascript, react, python.",1.004336
"Cybersecurity Analyst skilled in python, linux, encryption, network security.","Product Manager skilled in agile, scrum, data analysis, roadmap planning.",0.603892
"Software Engineer skilled in c++, oop, java, python.","Business Analyst skilled in requirements gathering, uml, data analysis, sql.",0.690322
"UX Designer skilled in user research, figma, prototyping, wireframing.","UX Designer skilled in prototyping, user research, figma, wireframing.",1.011532
"Frontend Developer skilled in javascript, react, css, html.","Data Scientist skilled in sql, python, statistics, machine learning.",0.618481
"Cloud Engineer skilled in azure, aws, cloud computing, terraform.","DevOps Engineer skilled in ci/cd, kubernetes, aws, docker.",0.744883
"IT Support Specialist skilled in windows, helpdesk, troubleshooting, vpn.","Data Engineer skilled in airflow, hadoop, etl, spark.",0.677546
"Data Scientist skilled in python, sql, statistics, machine learning.","Full Stack Developer skilled in react, python, node.js, javascript.",0.740322
"Backend Developer skilled in python, rest api, node.js, sql.","Backend Developer skilled in sql, rest api, python, node.js.",0.907615
"Network Engineer skilled in routing, switching, tcp/ip, firewalls.","Cloud Engineer skilled in aws, azure, cloud computing, terraform.",0.644629
"QA Engineer skilled in automation testing, selenium, test planning, python.","Full Stack Developer skilled in python, javascript, react, node.js.",0.560618
"Cybersecurity Analyst skilled in encryption, network security, python, linux.","UX Designer skilled in user research, figma, prototyping, wireframing.",0.588486
"Full Stack Developer skilled in javascript, node.js, python, react.","Mobile App Developer skilled in swift, react native, android, kotlin.",0.747047
"Data Scientist skilled in python, sql, statistics, machine learning.","Cloud Engineer skilled in aws, azure, cloud computing, terraform.",0.618627
"Network Engineer skilled in switching, tcp/ip, firewalls, routing.","Frontend Developer skilled in css, react, javascript, html.",0.575628
"Frontend Developer skilled in css, react, html, javascript.","Network Engineer skilled in firewalls, switching, tcp/ip, routing.",0.612075
"Full Stack Developer skilled in javascript, node.js, react, python.","Full Stack Developer skilled in node.js, python, react, javascript.",0.899606
"Software Engineer skilled in c++, java, oop, python.","AI Engineer skilled in deep learning, nlp, python, tensorflow.",0.652598
"Machine Learning Engineer skilled in model deployment, tensorflow, python, pytorch.","Data Scientist skilled in statistics, sql, machine learning, python.",0.724387
"Business Analyst skilled in sql, data analysis, uml, requirements gathering.","Product Manager skilled in data analysis, agile, scrum, roadmap planning.",0.720596
"DevOps Engineer skilled in ci/cd, docker, kubernetes, aws.","Frontend Developer skilled in javascript, html, css, react.",0.686614
"UX Designer skilled in prototyping, figma, user research, wireframing.","Product Manager skilled in scrum, data analysis, agile, roadmap planning.",0.615817
"IT Support Specialist skilled in troubleshooting, windows, vpn, helpdesk.","DevOps Engineer skilled in ci/cd, docker, aws, kubernetes.",0.661101
"UX Designer skilled in user research, wireframing, prototyping, figma.","QA Engineer skilled in selenium, python, test planning, automation testing.",0.555491
"UX Designer skilled in prototyping, figma, user research, wireframing.","DevOps Engineer skilled in aws, ci/cd, kubernetes, docker.",0.61203
"IT Support Specialist skilled in vpn, helpdesk, windows, troubleshooting.","Cloud Engineer skilled in azure, aws, terraform, cloud computing.",0.644337
"Network Engineer skilled in firewalls, tcp/ip, routing, switching.","Database Administrator skilled in backup, sql, performance tuning, oracle.",0.667748
"DevOps Engineer skilled in kubernetes, aws, ci/cd, docker.","Machine Learning Engineer skilled in python, pytorch, model deployment, tensorflow.",0.706282
"AI Engineer skilled in nlp, tensorflow, python, deep learning.","DevOps Engineer skilled in aws, kubernetes, docker, ci/cd.",0.725086
"Data Scientist skilled in statistics, sql, python, machine learning.","Mobile App Developer skilled in react native, android, kotlin, swift.",0.571534
"Frontend Developer skilled in javascript, react, html, css.","System Administrator skilled in linux, networking, bash scripting, vmware.",0.568664
"AI Engineer skilled in nlp, tensorflow, python, deep learning.","Backend Developer skilled in python, node.js, rest api, sql.",0.631992
"System Administrator skilled in bash scripting, vmware, linux, networking.","Mobile App Developer skilled in swift, android, react native, kotlin.",0.576906
"System Administrator skilled in bash scripting, vmware, linux, networking.","Network Engineer skilled in switching, tcp/ip, firewalls, routing.",0.629133
"Cloud Engineer skilled in aws, terraform, cloud computing, azure.","IT Support Specialist skilled in windows, vpn, helpdesk, troubleshooting.",0.664378
"Machine Learning Engineer skilled in pytorch, model deployment, python, tensorflow.","Software Engineer skilled in oop, c++, python, java.",0.781041
"Data Engineer skilled in spark, airflow, hadoop, etl.","Product Manager skilled in scrum, agile, data analysis, roadmap planning.",0.680993
"Machine Learning Engineer skilled in pytorch, python, tensorflow, model deployment.","Cybersecurity Analyst skilled in network security, python, encryption, linux.",0.719763
"Backend Developer skilled in sql, python, rest api, node.js.","Database Administrator skilled in performance tuning, sql, backup, oracle.",0.698871
"UX Designer skilled in prototyping, wireframing, user research, figma.","AI Engineer skilled in deep learning, nlp, python, tensorflow.",0.621118
"UX Designer skilled in figma, user research, prototyping, wireframing.","Product Manager skilled in data analysis, roadmap planning, agile, scrum.",0.609288
"Network Engineer skilled in routing, switching, firewalls, tcp/ip.","Cybersecurity Analyst skilled in encryption, network security, linux, python.",0.748973
"QA Engineer skilled in automation testing, selenium, test planning, python.","Software Engineer skilled in python, c++, java, oop.",0.636751
"Business Analyst skilled in requirements gathering, data analysis, uml, sql.","UX Designer skilled in wireframing, user research, prototyping, figma.",0.640806
"Data Engineer skilled in airflow, spark, hadoop, etl.","AI Engineer skilled in python, tensorflow, deep learning, nlp.",0.615276
"Frontend Developer skilled in css, html, react, javascript.","Data Scientist skilled in sql, python, statistics, machine learning.",0.550087
"UX Designer skilled in figma, wireframing, prototyping, user research.","Backend Developer skilled in sql, node.js, rest api, python.",0.664108
"Cloud Engineer skilled in azure, cloud computing, aws, terraform.","Backend Developer skilled in rest api, python, node.js, sql.",0.59335
"Database Administrator skilled in sql, backup, oracle, performance tuning.","Software Engineer skilled in oop, python, c++, java.",0.622406
"Database Administrator skilled in backup, oracle, performance tuning, sql.","IT Support Specialist skilled in vpn, windows, helpdesk, troubleshooting.",0.628832
"Machine Learning Engineer skilled in python, pytorch, tensorflow, model deployment.","IT Support Specialist skilled in vpn, windows, helpdesk, troubleshooting.",0.627431
"Data Scientist skilled in sql, statistics, machine learning, python.","Database Administrator skilled in sql, performance tuning, oracle, backup.",0.733437
"Backend Developer skilled in node.js, python, rest api, sql.","AI Engineer skilled in nlp, tensorflow, deep learning, python.",0.687496
"System Administrator skilled in linux, bash scripting, vmware, networking.","DevOps Engineer skilled in kubernetes, aws, docker, ci/cd.",0.59364
"Product Manager skilled in scrum, data analysis, agile, roadmap planning.","Product Manager skilled in agile, data analysis, scrum, roadmap planning.",0.976437
"Full Stack Developer skilled in node.js, javascript, python, react.","AI Engineer skilled in deep learning, tensorflow, nlp, python.",0.659498
"Data Engineer skilled in hadoop, etl, spark, airflow.","Full Stack Developer skilled in react, python, javascript, node.js.",0.58708
"Network Engineer skilled in switching, tcp/ip, routing, firewalls.","Cloud Engineer skilled in azure, cloud computing, aws, terraform.",0.643789
"DevOps Engineer skilled in aws, docker, kubernetes, ci/cd.","UX Designer skilled in user research, figma, prototyping, wireframing.",0.563277
"Network Engineer skilled in tcp/ip, firewalls, switching, routing.","Business Analyst skilled in data analysis, uml, sql, requirements gathering.",0.648985
"Cloud Engineer skilled in terraform, cloud computing, aws, azure.","System Administrator skilled in networking, vmware, bash scripting, linux.",0.646913
"UX Designer skilled in figma, user research, prototyping, wireframing.","Data Engineer skilled in airflow, etl, hadoop, spark.",0.629584
"QA Engineer skilled in selenium, automation testing, test planning, python.","Software Engineer skilled in c++, java, python, oop.",0.608593
"UX Designer skilled in figma, prototyping, wireframing, user research.","Data Scientist skilled in sql, machine learning, statistics, python.",0.612631
"Cloud Engineer skilled in cloud computing, azure, aws, terraform.","Frontend Developer skilled in javascript, react, html, css.",0.609578
"Frontend Developer skilled in javascript, react, css, html.","Backend Developer skilled in python, rest api, node.js, sql.",0.732116
"Backend Developer skilled in sql, python, node.js, rest api.","UX Designer skilled in prototyping, wireframing, figma, user research.",0.650069
"UX Designer skilled in wireframing, user research, prototyping, figma.","Business Analyst skilled in requirements gathering, data analysis, sql, uml.",0.572959
"Mobile App Developer skilled in react native, kotlin, android, swift.","IT Support Specialist skilled in windows, helpdesk, troubleshooting, vpn.",0.698007
"Full Stack Developer skilled in javascript, python, node.js, react.","UX Designer skilled in user research, wireframing, figma, prototyping.",0.695227
"Full Stack Developer skilled in react, node.js, python, javascript.","Data Scientist skilled in python, sql, statistics, machine learning.",0.666825
"Frontend Developer skilled in javascript, react, css, html.","AI Engineer skilled in python, tensorflow, nlp, deep learning.",0.678912
"Machine Learning Engineer skilled in model deployment, python, pytorch, tensorflow.","Business Analyst skilled in uml, data analysis, sql, requirements gathering.",0.677894
"Machine Learning Engineer skilled in pytorch, python, tensorflow, model deployment.","Backend Developer skilled in sql, rest api, python, node.js.",0.737535
"Data Scientist skilled in python, statistics, machine learning, sql.","Machine Learning Engineer skilled in python, model deployment, pytorch, tensorflow.",0.691224
"Cloud Engineer skilled in terraform, cloud computing, azure, aws.","Cybersecurity Analyst skilled in encryption, network security, linux, python.",0.583949
"Frontend Developer skilled in css, react, javascript, html.","IT Support Specialist skilled in vpn, troubleshooting, windows, helpdesk.",0.69789
"Full Stack Developer skilled in python, node.js, react, javascript.","UX Designer skilled in wireframing, prototyping, user research, figma.",0.638223
"DevOps Engineer skilled in kubernetes, aws, docker, ci/cd.","Network Engineer skilled in tcp/ip, switching, routing, firewalls.",0.679232
"Frontend Developer skilled in html, react, javascript, css.","Business Analyst skilled in requirements gathering, sql, data analysis, uml.",0.670662
"AI Engineer skilled in python, tensorflow, deep learning, nlp.","Product Manager skilled in scrum, agile, data analysis, roadmap planning.",0.589325
"Backend Developer skilled in sql, python, node.js, rest api.","Mobile App Developer skilled in react native, android, swift, kotlin.",0.668751
"Frontend Developer skilled in javascript, css, html, react.","Software Engineer skilled in python, c++, java, oop.",0.668051
"DevOps Engineer skilled in kubernetes, aws, docker, ci/cd.","Product Manager skilled in data analysis, roadmap planning, scrum, agile.",0.667947
"Data Scientist skilled in statistics, machine learning, sql, python.","Machine Learning Engineer skilled in pytorch, tensorflow, model deployment, python.",0.712612
"Full Stack Developer skilled in python, react, node.js, javascript.","Mobile App Developer skilled in kotlin, swift, react native, android.",0.730142
"Full Stack Developer skilled in javascript, node.js, react, python.","Machine Learning Engineer skilled in python, tensorflow, pytorch, model deployment.",0.692544
"Machine Learning Engineer skilled in pytorch, python, model deployment, tensorflow.","Database Administrator skilled in backup, sql, performance tuning, oracle.",0.694157
"Database Administrator skilled in oracle, backup, sql, performance tuning.","Mobile App Developer skilled in kotlin, swift, android, react native.",0.562654
"Backend Developer skilled in rest api, python, sql, node.js.","Database Administrator skilled in backup, sql, performance tuning, oracle.",0.612226
"System Administrator skilled in bash scripting, vmware, linux, networking.","DevOps Engineer skilled in kubernetes, ci/cd, docker, aws.",0.672443
"Product Manager skilled in data analysis, roadmap planning, scrum, agile.","Machine Learning Engineer skilled in model deployment, pytorch, python, tensorflow.",0.668495
"Full Stack Developer skilled in python, javascript, node.js, react.","Cloud Engineer skilled in terraform, aws, cloud computing, azure.",0.577016
"AI Engineer skilled in deep learning, nlp, python, tensorflow.","AI Engineer skilled in tensorflow, nlp, python, deep learning.",0.801206
"IT Support Specialist skilled in vpn, windows, troubleshooting, helpdesk.","Backend Developer skilled in python, node.js, sql, rest api.",0.551135
"Cybersecurity Analyst skilled in linux, encryption, network security, python.","Software Engineer skilled in oop, java, c++, python.",0.670611
"Data Scientist skilled in python, machine learning, statistics, sql.","Frontend Developer skilled in react, html, javascript, css.",0.680341
"Cybersecurity Analyst skilled in python, encryption, network security, linux.","Frontend Developer skilled in html, css, react, javascript.",0.60636
"Network Engineer skilled in switching, routing, firewalls, tcp/ip.","Software Engineer skilled in java, oop, python, c++.",0.706127
"Machine Learning Engineer skilled in tensorflow, model deployment, python, pytorch.","Full Stack Developer skilled in javascript, react, python, node.js.",0.684301
"System Administrator skilled in networking, bash scripting, linux, vmware.","IT Support Specialist skilled in windows, helpdesk, vpn, troubleshooting.",0.663923
"Business Analyst skilled in requirements gathering, uml, sql, data analysis.","UX Designer skilled in wireframing, prototyping, user research, figma.",0.638746
"QA Engineer skilled in selenium, python, automation testing, test planning.","Data Engineer skilled in hadoop, airflow, etl, spark.",0.68588
"Software Engineer skilled in c++, java, python, oop.","DevOps Engineer skilled in docker, aws, ci/cd, kubernetes.",0.652368
"Full Stack Developer skilled in react, javascript, node.js, python.","Frontend Developer skilled in html, react, javascript, css.",0.711601
"System Administrator skilled in vmware, linux, bash scripting, networking.","Cybersecurity Analyst skilled in linux, python, encryption, network security.",0.694125
"UX Designer skilled in figma, wireframing, user research, prototyping.","DevOps Engineer skilled in docker, ci/cd, kubernetes, aws.",0.604074
"Frontend Developer skilled in html, javascript, react, css.","System Administrator skilled in linux, vmware, bash scripting, networking.",0.594687
"Business Analyst skilled in requirements gathering, uml, data analysis, sql.","System Administrator skilled in networking, bash scripting, linux, vmware.",0.558387
"Machine Learning Engineer skilled in python, model deployment, tensorflow, pytorch.","IT Support Specialist skilled in vpn, helpdesk, troubleshooting, windows.",0.691601
"Business Analyst skilled in data analysis, sql, uml, requirements gathering.","Software Engineer skilled in python, oop, c++, java.",0.676534
"Data Scientist skilled in machine learning, sql, python, statistics.","UX Designer skilled in prototyping, figma, user research, wireframing.",0.667347
"Cybersecurity Analyst skilled in encryption, linux, python, network security.","DevOps Engineer skilled in kubernetes, docker, aws, ci/cd.",0.656165
"IT Support Specialist skilled in windows, vpn, troubleshooting, helpdesk.","DevOps Engineer skilled in kubernetes, aws, docker, ci/cd.",0.562729
"Business Analyst skilled in uml, data analysis, requirements gathering, sql.","Full Stack Developer skilled in react, python, javascript, node.js.",0.618916
"Business Analyst skilled in uml, data analysis, requirements gathering, sql.","Database Administrator skilled in sql, oracle, performance tuning, backup.",0.605705
"UX Designer skilled in wireframing, prototyping, user research, figma.","System Administrator skilled in bash scripting, networking, vmware, linux.",0.638993
"Software Engineer skilled in java, oop, c++, python.","Frontend Developer skilled in css, html, react, javascript.",0.683242
"Frontend Developer skilled in css, javascript, react, html.","Product Manager skilled in data analysis, agile, roadmap planning, scrum.",0.652737
"Business Analyst skilled in requirements gathering, sql, uml, data analysis.","Machine Learning Engineer skilled in tensorflow, model deployment, pytorch, python.",0.579617
"Data Engineer skilled in airflow, hadoop, spark, etl.","Database Administrator skilled in oracle, sql, backup, performance tuning.",0.551971
"Business Analyst skilled in data analysis, requirements gathering, sql, uml.","AI Engineer skilled in nlp, deep learning, tensorflow, python.",0.563112
"DevOps Engineer skilled in aws, ci/cd, kubernetes, docker.","Cloud Engineer skilled in terraform, cloud computing, azure, aws.",0.63263
"DevOps Engineer skilled in aws, kubernetes, docker, ci/cd.","Machine Learning Engineer skilled in pytorch, python, model deployment, tensorflow.",0.616485
"Mobile App Developer skilled in android, kotlin, react native, swift.","QA Engineer skilled in selenium, automation testing, python, test planning.",0.671914
"AI Engineer skilled in python, nlp, deep learning, tensorflow.","System Administrator skilled in networking, vmware, linux, bash scripting.",0.685271
"Machine Learning Engineer skilled in pytorch, model deployment, python, tensorflow.","Machine Learning Engineer skilled in model deployment, pytorch, python, tensorflow.",1.088964
"Cybersecurity Analyst skilled in python, network security, linux, encryption.","Business Analyst skilled in data analysis, requirements gathering, uml, sql.",0.703069
"UX Designer skilled in prototyping, wireframing, user research, figma.","Machine Learning Engineer skilled in model deployment, python, pytorch, tensorflow.",0.613475
"UX Designer skilled in figma, user research, wireframing, prototyping.","Cybersecurity Analyst skilled in linux, encryption, network security, python.",0.550437
"Backend Developer skilled in node.js, sql, rest api, python.","Cybersecurity Analyst skilled in network security, encryption, python, linux.",0.556997
"AI Engineer skilled in deep learning, tensorflow, python, nlp.","Machine Learning Engineer skilled in tensorflow, python, pytorch, model deployment.",0.823655
"DevOps Engineer skilled in kubernetes, aws, ci/cd, docker.","Cybersecurity Analyst skilled in python, network security, linux, encryption.",0.621162
"Product Manager skilled in agile, data analysis, roadmap planning, scrum.","Cloud Engineer skilled in azure, cloud computing, terraform, aws.",0.553873
"Backend Developer skilled in sql, node.js, python, rest api.","DevOps Engineer skilled in kubernetes, aws, docker, ci/cd.",0.619791
"DevOps Engineer skilled in kubernetes, ci/cd, aws, docker.","QA Engineer skilled in test planning, selenium, automation testing, python.",0.727546
"Network Engineer skilled in switching, tcp/ip, routing, firewalls.","Software Engineer skilled in java, python, oop, c++.",0.706274
"Software Engineer skilled in java, oop, c++, python.","UX Designer skilled in wireframing, prototyping, figma, user research.",0.615148
"AI Engineer skilled in deep learning, python, nlp, tensorflow.","Frontend Developer skilled in react, css, html, javascript.",0.561872
"Full Stack Developer skilled in javascript, react, python, node.js.","Frontend Developer skilled in html, javascript, react, css.",0.750926
"AI Engineer skilled in deep learning, nlp, python, tensorflow.","Frontend Developer skilled in html, javascript, css, react.",0.616574
